iter	Passed	Remaining
489	630	656
490	631	654
491	632	653
492	633	651
493	634	650
494	635	648
495	636	647
496	637	645
497	638	643
498	639	641
499	640	640
500	640	638
501	641	636
502	642	635
503	643	633
504	644	631
505	645	630
506	646	628
507	647	626
508	647	624
509	649	624
510	650	622
511	651	621
512	652	619
513	653	618
514	654	616
515	655	614
516	656	613
517	657	611
518	658	610
519	659	608
520	660	606
521	660	605
522	661	603
523	662	601
524	663	600
525	664	599
526	665	597
527	666	596
528	667	594
529	668	592
530	669	591
531	670	589
532	671	588
533	672	586
534	673	584
535	674	583
536	674	581
537	675	580
538	676	578
539	677	577
540	678	575
541	679	574
542	681	573
543	682	571
544	683	570
545	683	568
546	684	567
547	685	565
548	686	564
549	687	562
550	688	561
551	689	559
552	690	558
553	691	556
554	692	555
555	693	554
556	695	552
557	696	551
558	697	550
559	698	548
560	699	547
561	700	545
562	701	544
563	702	542
564	703	541
565	703	539
566	704	538
567	705	536
568	706	535
569	707	533
570	708	532
571	709	531
572	711	529
573	712	528
574	713	527
575	714	525
576	715	524
577	716	522
578	717	521
579	718	520
580	719	518
581	720	517
582	721	515
583	722	514
584	723	513
585	724	511
586	726	510
587	727	509
588	728	508
589	729	507
590	731	505
591	732	504
592	733	503
593	734	501
594	735	500
595	736	499
596	737	497
597	738	496
598	739	495
599	740	493
600	741	492
601	742	491
602	743	489
603	744	488
604	745	487
605	747	485
606	748	484
607	749	482
608	749	481
609	753	481
610	754	480
611	761	482
612	763	481
613	764	480
614	766	479
615	769	479
616	770	478
617	774	478
618	775	477
619	777	476
620	778	475
621	781	474
622	782	473
623	784	472
624	786	472
625	788	471
626	790	469
627	791	468
628	792	467
629	794	466
630	795	465
631	797	464
632	798	463
633	800	462
634	802	461
635	803	459
636	804	458
637	806	457
638	807	456
639	808	454
640	809	453
641	811	452
642	812	450
643	813	449
644	816	449
645	818	448
646	819	447
647	821	446
648	822	444
649	823	443
650	825	442
651	838	447
652	840	446
653	841	445
654	842	443
655	843	442
656	845	441
657	846	440
658	848	438
659	849	437
660	850	436
661	852	435
662	856	435
663	877	444
664	883	445
665	885	443
666	886	442
667	887	441
668	888	439
669	890	438
670	891	437
671	892	435
672	894	434
673	897	433
674	898	432
675	899	431
676	901	429
677	902	428
678	903	427
679	904	425
680	905	424
681	907	423
682	908	421
683	917	424
684	919	422
685	920	421
686	921	420
687	923	418
688	924	417
689	928	417
690	930	415
691	931	414
692	932	413
693	933	411
694	934	410
695	935	408
696	936	407
697	937	405
698	939	404
699	942	404
700	944	402
701	945	401
702	946	399
703	947	398
704	948	396
705	949	395
706	950	393
707	951	392
708	952	391
709	954	389
710	955	388
711	957	387
712	958	385
713	960	384
714	961	383
715	962	381
716	963	380
717	964	378
718	965	377
719	966	375
720	967	374
721	968	373
722	970	371
723	971	370
724	972	368
725	973	367
726	974	366
727	975	364
728	976	363
729	977	361
730	978	360
731	979	358
732	980	357
733	981	355
734	982	354
735	983	352
736	984	351
737	985	349
738	986	348
739	987	346
740	988	345
741	989	343
742	990	342
743	990	340
744	991	339
745	992	337
746	993	336
747	994	335
748	995	333
749	996	332
750	997	330
751	998	329
752	999	327
753	1000	326
754	1001	324
755	1002	323
756	1003	322
757	1004	320
758	1004	319
759	1005	317
760	1006	316
761	1007	314
762	1008	313
763	1009	311
764	1010	310
765	1011	308
766	1011	307
767	1012	305
768	1013	304
769	1014	302
770	1015	301
771	1016	300
772	1017	298
773	1018	297
774	1018	295
775	1019	294
776	1020	292
777	1021	291
778	1022	290
779	1023	288
780	1024	287
781	1024	285
782	1025	284
783	1026	282
784	1027	281
785	1028	279
786	1028	278
787	1029	277
788	1030	275
789	1031	274
790	1032	272
791	1033	271
792	1034	269
793	1034	268
794	1035	267
795	1036	265
796	1037	264
797	1038	262
798	1038	261
799	1039	259
800	1040	258
801	1041	257
802	1042	255
803	1042	254
804	1043	252
805	1044	251
806	1045	249
807	1045	248
808	1046	247
809	1047	245
810	1048	244
811	1049	242
812	1050	241
813	1050	240
814	1051	238
815	1052	237
816	1053	235
817	1054	234
818	1054	233
819	1056	231
820	1056	230
821	1057	229
822	1058	227
823	1059	226
824	1060	224
825	1061	223
826	1062	222
827	1063	220
828	1064	219
829	1065	218
830	1066	216
831	1067	215
832	1068	214
833	1069	212
834	1070	211
835	1071	210
836	1072	208
837	1072	207
838	1074	206
839	1074	204
840	1075	203
841	1076	202
842	1077	200
843	1079	199
844	1080	198
845	1080	196
846	1081	195
847	1082	194
